batch_id,student_id,student_name,email,vm_name,vm_ip,os_type,os_user,os_password
DEVOPS-JUL26,001,Student1,Student1@test.com,stuvm-001,192.168.1.201,ubuntu,student,Student@123
DEVOPS-JUL26,002,Student2,Student2@test.com,stuvm-002,192.168.1.202,ubuntu,student,Student@123
DEVOPS-JUL26,003,Student3,Student3@test.com,stuvm-003,192.168.1.203,ubuntu,student,Student@123
DEVOPS-JUL26,004,Student4,Student4@test.com,stuvm-004,192.168.1.204,ubuntu,student,Student@123
DEVOPS-JUL26,005,Student5,Student5@test.com,stuvm-005,192.168.1.205,ubuntu,student,Student@123
DEVOPS-JUL26,006,Student6,Student6@test.com,stuvm-006,192.168.1.206,ubuntu,student,Student@123
DEVOPS-JUL26,007,Student7,Student7@test.com,stuvm-007,192.168.1.207,ubuntu,student,Student@123
DEVOPS-JUL26,008,Student8,Student8@test.com,stuvm-008,192.168.1.208,ubuntu,student,Student@123
DEVOPS-JUL26,009,Student9,Student9@test.com,stuvm-009,192.168.1.209,ubuntu,student,Student@123
DEVOPS-JUL26,010,Student10,Student10@test.com,stuvm-010,192.168.1.210,ubuntu,student,Student@123
DEVOPS-JUL26,011,Student11,Student11@test.com,stuvm-011,192.168.1.211,ubuntu,student,Student@123
DEVOPS-JUL26,012,Student12,Student12@test.com,stuvm-012,192.168.1.212,ubuntu,student,Student@123
DEVOPS-JUL26,013,Student13,Student13@test.com,stuvm-013,192.168.1.213,ubuntu,student,Student@123
DEVOPS-JUL26,014,Student14,Student14@test.com,stuvm-014,192.168.1.214,ubuntu,student,Student@123
DEVOPS-JUL26,015,Student15,Student15@test.com,stuvm-015,192.168.1.215,ubuntu,student,Student@123
DEVOPS-JUL26,016,Student16,Student16@test.com,stuvm-016,192.168.1.216,ubuntu,student,Student@123
DEVOPS-JUL26,017,Student17,Student17@test.com,stuvm-017,192.168.1.217,ubuntu,student,Student@123
DEVOPS-JUL26,018,Student18,Student18@test.com,stuvm-018,192.168.1.218,ubuntu,student,Student@123
DEVOPS-JUL26,019,Student19,Student19@test.com,stuvm-019,192.168.1.219,ubuntu,student,Student@123
DEVOPS-JUL26,020,Student20,Student20@test.com,stuvm-020,192.168.1.220,ubuntu,student,Student@123
DEVOPS-JUL26,021,Student21,Student21@test.com,stuvm-021,192.168.1.221,ubuntu,student,Student@123
DEVOPS-JUL26,022,Student22,Student22@test.com,stuvm-022,192.168.1.222,ubuntu,student,Student@123
DEVOPS-JUL26,023,Student23,Student23@test.com,stuvm-023,192.168.1.224,ubuntu,student,Student@123
DEVOPS-JUL26,024,Student24,Student24@test.com,stuvm-024,192.168.1.225,ubuntu,student,Student@123
DEVOPS-JUL26,025,Student25,Student25@test.com,stuvm-025,192.168.1.226,ubuntu,student,Student@123
DEVOPS-JUL26,026,Student26,Student26@test.com,stuvm-026,192.168.1.227,ubuntu,student,Student@123
